lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline,event_name,category,p_moderate,p_strong,p_severe,p_extreme,season
-5.1458511,35.72916,21,5537,5539,5541,5,1997-02-27,1997-03-01,1997-03-03,0.8631,0.9064,0.0382,4.3157,0.0691,0.1129,0.0345,0.3453,16.108,16.15,0.0363,80.54,0.0384,0.0647,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,22,5751,5755,5765,15,1997-09-29,1997-10-03,1997-10-13,1.8493,2.2509,0.2708,27.7389,0.4573,0.8534,0.2613,6.8598,21.7693,22.39,0.5019,326.54,0.2179,0.0821,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,23,5773,5781,5795,23,1997-10-21,1997-10-29,1997-11-12,1.5616,1.9846,0.2392,35.9177,0.4207,0.8314,0.2328,9.6759,19.7622,20.3,0.4796,454.53,0.0748,0.0562,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,24,5801,5802,5807,7,1997-11-18,1997-11-19,1997-11-24,1.2532,1.4433,0.1391,8.7724,0.2673,0.4432,0.1338,1.8711,18.5629,18.83,0.1856,129.94,0.2552,0.0938,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,25,5830,5831,5846,17,1997-12-17,1997-12-18,1998-01-02,1.1818,1.3525,0.1269,20.0902,0.3081,0.4876,0.1341,5.2385,17.4971,17.83,0.2264,297.45,0.2449,0.0392,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,26,5861,5862,5867,7,1998-01-17,1998-01-18,1998-01-23,0.9765,1.1026,0.1124,6.8358,0.1311,0.2474,0.1039,0.9179,16.6143,16.79,0.1601,116.3,0.1596,0.0648,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,27,5889,5913,5925,37,1998-02-14,1998-03-10,1998-03-22,1.0623,1.5659,0.1969,39.3064,0.2809,0.7947,0.1955,10.3937,16.3532,16.86,0.1895,605.07,0.0439,0.0682,Event 1998,II Strong,97,3,0,0,Summer
-5.1458511,35.72916,28,5932,5937,5941,10,1998-03-29,1998-04-03,1998-04-07,1.3214,1.4806,0.1328,13.2141,0.5547,0.7113,0.1267,5.5468,17,17.17,0.1979,170,0.1585,0.1142,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,29,6305,6310,6313,9,1999-04-06,1999-04-11,1999-04-14,1.0232,1.266,0.204,9.2084,0.2423,0.4877,0.1986,2.1806,16.9256,17.25,0.2788,152.33,0.1072,0.0965,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,30,6395,6397,6399,5,1999-07-05,1999-07-07,1999-07-09,1.7543,1.9881,0.2471,8.7715,0.5853,0.8192,0.2469,2.9267,22.596,22.83,0.2329,112.98,0.4171,0.3725,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,31,6722,6724,6727,6,2000-05-27,2000-05-29,2000-06-01,1.4145,1.7134,0.2242,8.4869,0.2588,0.5611,0.2226,1.5526,19.7783,20.04,0.2741,118.67,0.4348,0.1526,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,32,7041,7042,7046,6,2001-04-11,2001-04-12,2001-04-16,1.0699,1.3308,0.1592,6.4195,0.2735,0.5479,0.1616,1.6407,17.0917,17.3,0.171,102.55,0.3717,0.1116,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,33,7347,7348,7353,7,2002-02-11,2002-02-12,2002-02-17,1.086,1.1889,0.1351,7.6019,0.2826,0.3851,0.1351,1.9784,16.36,16.47,0.1344,114.52,0.439,0.0649,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,34,7357,7361,7361,5,2002-02-21,2002-02-25,2002-02-25,1.1604,1.3228,0.1967,5.802,0.3507,0.5141,0.1963,1.7534,16.412,16.57,0.1934,82.06,0.1122,0.5782,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,35,7384,7387,7390,7,2002-03-20,2002-03-23,2002-03-26,0.9295,0.9903,0.0356,6.5064,0.1794,0.2395,0.0359,1.256,16.3714,16.43,0.0389,114.6,0.0707,0.0563,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,36,7804,7808,7814,11,2003-05-14,2003-05-18,2003-05-24,1.4965,1.8721,0.2838,16.4619,0.4175,0.7988,0.2812,4.5923,19.1082,19.47,0.3649,210.19,0.1773,0.1089,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,37,7831,7838,7840,10,2003-06-10,2003-06-17,2003-06-19,1.4556,1.8042,0.1853,14.5563,0.209,0.5623,0.1881,2.0899,20.936,21.48,0.3155,209.36,0.0847,0.2878,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,38,7891,7897,7901,11,2003-08-09,2003-08-15,2003-08-19,2.515,3.3206,0.8579,27.6652,1.2911,2.0965,0.8597,14.2019,24.6336,25.45,0.8643,270.97,0.3211,0.4612,Event 2003,II Strong,36,64,0,0,Winter
-5.1458511,35.72916,39,8187,8191,8192,6,2004-05-31,2004-06-04,2004-06-05,1.95,2.2182,0.2186,11.7,0.7559,1.0279,0.2192,4.5353,20.61,20.99,0.2671,123.66,0.2934,0.7397,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,40,8210,8210,8214,5,2004-06-23,2004-06-23,2004-06-27,1.3724,1.5405,0.1307,6.862,0.1732,0.3319,0.1232,0.866,21.506,21.55,0.0404,107.53,0.5171,0.0874,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,41,8238,8246,8256,19,2004-07-21,2004-07-29,2004-08-08,1.5407,1.8893,0.2266,29.273,0.3504,0.7008,0.2215,6.657,23.4047,23.84,0.3055,444.69,0.0801,0.0701,NA,I Moderate,95,0,0,0,Winter
-5.1458511,35.72916,42,8276,8277,8280,5,2004-08-28,2004-08-29,2004-09-01,1.7409,2.0754,0.2885,8.7047,0.5438,0.8703,0.2872,2.7191,23.716,24.08,0.3012,118.58,0.9253,0.2482,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,43,8313,8315,8317,5,2004-10-04,2004-10-06,2004-10-08,1.8151,1.9488,0.1311,9.0755,0.409,0.5405,0.1295,2.045,21.736,21.87,0.1333,108.68,0.2027,0.1609,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,44,8522,8526,8530,9,2005-05-01,2005-05-05,2005-05-09,1.959,2.2362,0.3101,17.6314,1.0276,1.3132,0.3198,9.2487,18.7867,19.06,0.2976,169.08,0.2731,0.2486,Event 2005,II Strong,22,78,0,0,Fall
-5.1458511,35.72916,45,8556,8557,8560,5,2005-06-04,2005-06-05,2005-06-08,1.8956,2.075,0.2151,9.478,0.6625,0.8486,0.2208,3.3125,20.812,20.96,0.1807,104.06,0.5598,0.2823,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,46,8567,8578,8587,21,2005-06-15,2005-06-26,2005-07-05,1.5445,2.0945,0.2865,32.4349,0.34,0.9001,0.2997,7.1394,21.6733,22.5,0.5686,455.14,0.0728,0.0822,NA,I Moderate,90,0,0,0,Fall
-5.1458511,35.72916,47,8602,8605,8606,5,2005-07-20,2005-07-23,2005-07-24,1.802,2.1707,0.3221,9.0099,0.6543,1.0192,0.3214,3.2713,23.41,23.82,0.3393,117.05,0.2351,0.5814,NA,I Moderate,100,0,0,0,Winter
-5.1458511,35.72916,48,8971,8973,8975,5,2006-07-24,2006-07-26,2006-07-28,2.5384,3.0394,0.4008,12.6922,1.3706,1.8724,0.4016,6.853,24.298,24.8,0.406,121.49,0.5892,0.6017,Event 2006,II Strong,40,60,0,0,Winter
-5.1458511,35.72916,49,9091,9094,9095,5,2006-11-21,2006-11-24,2006-11-25,1.1929,1.2441,0.0874,5.9643,0.2215,0.2812,0.0795,1.1077,18.426,18.55,0.1358,92.13,0.0618,0.2171,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,50,9395,9412,9418,24,2007-09-21,2007-10-08,2007-10-14,2.072,2.7253,0.454,49.7283,0.7088,1.3211,0.4157,17.0123,22.2425,22.67,0.3481,533.82,0.0895,0.2288,NA,I Moderate,100,0,0,0,Spring
-5.1458511,35.72916,51,9556,9560,9561,6,2008-02-29,2008-03-04,2008-03-05,1.11,1.4075,0.2381,6.6597,0.3233,0.6279,0.2422,1.9399,16.3583,16.66,0.2398,98.15,0.1556,0.3655,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,52,9565,9568,9571,7,2008-03-09,2008-03-12,2008-03-15,0.9214,0.9892,0.0802,6.4501,0.1582,0.2244,0.0844,1.1072,16.2329,16.3,0.0921,113.63,0.0632,0.0606,NA,I Moderate,100,0,0,0,Summer
-5.1458511,35.72916,53,9588,9594,9597,10,2008-04-01,2008-04-07,2008-04-10,0.9065,1.0173,0.0793,9.0655,0.1344,0.241,0.0763,1.3438,16.669,16.87,0.1607,166.69,0.0417,0.0454,NA,I Moderate,100,0,0,0,Fall
-5.1458511,35.72916,54,9716,9716,9720,5,2008-08-07,2008-08-07,2008-08-11,1.4419,1.5386,0.1101,7.2096,0.2239,0.3165,0.1087,1.1196,23.528,23.6,0.0936,117.64,1.325,0.1045,NA,I Moderate,100,0,0,0,Winter
